id,Status,Date_Of_Birth,Monthly_Income,Employment_Length,State,Interest_Rate,FICO_Range,Default
81174,accepted,1997-04-03,6541.67,2015-04,SC,8.90,735-739,0.0
99592,accepted,1983-07-03,4583.33,2014-08,TX,12.12,715-719,0.0
80059,accepted,1990-10-08,11500.0,2014-08,CA,21.98,690-694,0.0
15825,accepted,1993-25-06,3833.33,2011-02,KS,9.99,695-699,0.0
33182,accepted,1986-02-02,3195.0,2007-09,NJ,11.71,695-699,0.0
62403,accepted,1983-18-01,4891.67,2013-02,CT,15.31,670-674,0.0
48808,accepted,1979-31-03,2916.67,2006-03,MA,7.90,720-724,0.0
22090,accepted,1978-05-11,13863.42,2006-11,LA,17.14,705-709,0.0
76404,accepted,1985-30-06,3150.0,2008-12,CA,14.33,685-689,0.0
15867,accepted,1981-04-11,5000.0,2013-03,CA,6.91,715-719,0.0
94971,accepted,1992-27-04,3575.0,2010-10,FL,19.72,670-674,1.0
36911,accepted,1988-16-03,4250.0,2015-11,CA,14.27,665-669,0.0
41200,accepted,1990-30-11,14166.67,2015-04,CT,21.67,670-674,0.0
83869,pending,1984-28-07,9166.67,2015-07,CT,8.90,735-739,
53853,accepted,1983-13-07,11250.0,2015-10,DC,7.62,725-729,0.0
21399,accepted,1986-13-01,5416.67,2007-05,CA,15.65,730-734,0.0
62127,accepted,1984-05-05,9000.0,2009-01,CA,12.12,695-699,0.0
23446,pending,1983-30-07,4333.33,2007-05,OH,10.37,740-744,
44987,accepted,1993-08-11,2733.33,2013-08,FL,9.76,730-734,0.0
17977,accepted,1991-30-06,3750.0,2015-02,AL,9.99,760-764,0.0
86099,accepted,1979-22-06,6666.67,2006-05,TX,21.98,665-669,1.0
99483,accepted,1984-01-09,6250.0,2010-02,FL,19.05,695-699,0.0
28798,accepted,1994-07-09,4100.0,2014-10,FL,17.99,665-669,1.0
24168,accepted,1979-10-06,6833.33,2009-09,AZ,11.99,695-699,0.0
10356,accepted,1995-08-05,4500.0,2013-10,GA,16.82,670-674,0.0
46027,accepted,1988-01-07,5416.67,2009-04,TX,7.90,705-709,0.0
2238,accepted,1981-09-11,2964.17,2010-10,MA,14.42,675-679,0.0
65278,accepted,1985-07-08,2916.67,2011-06,CA,15.31,675-679,0.0
4227,accepted,1983-12-03,4167.0,2011-01,MA,8.59,765-769,0.0
50182,accepted,1980-29-08,3958.33,2012-12,GA,7.90,760-764,0.0
87023,accepted,1979-10-09,5833.33,2007-01,LA,21.00,685-689,0.0
46120,accepted,1992-17-05,10583.33,2014-08,CA,12.12,685-689,0.0
30756,accepted,1980-16-09,10416.67,2008-07,GA,16.49,720-724,0.0
