id,Amount_Requested,Loan_Purpose,Loan_Length,Status,Debt_To_Income_Ratio,Home_Ownership,FICO,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months
81174,20000,debt_consolidation,36 months,accepted,14.9,MORTGAGE,737.0,14.0,14272.0,2.0
99592,19200,debt_consolidation,36 months,accepted,28.36,MORTGAGE,717.0,12.0,11140.0,1.0
80059,35000,debt_consolidation,60 months,accepted,23.81,MORTGAGE,692.0,14.0,21977.0,1.0
15825,10000,debt_consolidation,36 months,accepted,14.3,MORTGAGE,697.0,10.0,9346.0,0.0
33182,12000,credit_card,36 months,accepted,18.78,RENT,697.0,11.0,14469.0,0.0
62403,6000,other,36 months,accepted,20.05,OWNER,672.0,17.0,10391.0,2.0
48808,10000,debt_consolidation,36 months,accepted,26.09,RENT,722.0,10.0,15957.0,0.0
22090,33500,credit_card,60 months,accepted,14.7,MORTGAGE,707.0,12.0,27874.0,0.0
76404,14675,credit_card,36 months,accepted,26.92,RENT,687.0,9.0,7246.0,1.0
15867,7000,credit_card,36 months,accepted,7.1,RENT,717.0,8.0,7612.0,0.0
94971,2000,moving,36 months,accepted,10.29,RENT,672.0,10.0,12036.0,0.0
36911,10625,debt_consolidation,36 months,accepted,12.54,MORTGAGE,667.0,14.0,10767.0,0.0
41200,28000,debt_consolidation,60 months,accepted,13.07,MORTGAGE,672.0,12.0,10311.0,0.0
83869,35000,debt_consolidation,36 months,pending,20.46,RENT,737.0,19.0,21536.0,0.0
53853,9600,debt_consolidation,36 months,accepted,3.45,RENT,727.0,13.0,4606.0,0.0
21399,25000,debt_consolidation,60 months,accepted,21.99,RENT,732.0,6.0,13929.0,0.0
62127,10000,debt_consolidation,36 months,accepted,17.72,RENT,697.0,18.0,20317.0,0.0
23446,14000,debt_consolidation,60 months,pending,11.95,RENT,742.0,6.0,7419.0,0.0
44987,10000,credit_card,36 months,accepted,7.13,RENT,732.0,7.0,6112.0,2.0
17977,5200,debt_consolidation,60 months,accepted,10.29,MORTGAGE,762.0,10.0,16094.0,0.0
86099,22000,debt_consolidation,36 months,accepted,11.19,MORTGAGE,667.0,9.0,23124.0,0.0
99483,30000,credit_card,60 months,accepted,21.25,MORTGAGE,697.0,12.0,34927.0,0.0
28798,6500,car,60 months,accepted,19.63,RENT,667.0,11.0,11697.0,1.0
24168,17400,credit_card,36 months,accepted,12.47,RENT,697.0,7.0,26587.0,0.0
10356,4000,vacation,60 months,accepted,13.71,MORTGAGE,672.0,5.0,20804.0,0.0
46027,7200,debt_consolidation,36 months,accepted,24.82,RENT,707.0,8.0,12017.0,0.0
2238,8000,debt_consolidation,36 months,accepted,24.63,RENT,677.0,9.0,8928.0,2.0
65278,8000,debt_consolidation,36 months,accepted,15.46,MORTGAGE,677.0,13.0,7152.0,1.0
4227,3000,other,36 months,accepted,3.72,MORTGAGE,767.0,4.0,7074.0,0.0
50182,14500,debt_consolidation,36 months,accepted,4.85,MORTGAGE,762.0,4.0,9598.0,0.0
87023,23850,debt_consolidation,60 months,accepted,28.81,MORTGAGE,687.0,19.0,25968.0,3.0
46120,14000,debt_consolidation,36 months,accepted,14.93,MORTGAGE,687.0,9.0,35457.0,0.0
30756,35000,debt_consolidation,60 months,accepted,7.45,MORTGAGE,722.0,7.0,31414.0,0.0
94582,16000,car,60 months,accepted,11.94,RENT,687.0,14.0,154.0,1.0
457,17350,debt_consolidation,36 months,accepted,18.52,OWNER,677.0,8.0,18966.0,2.0
96536,8000,car,36 months,pending,29.62,MORTGAGE,782.0,9.0,6065.0,1.0
39591,7200,debt_consolidation,36 months,accepted,7.98,RENT,722.0,5.0,8783.0,0.0
78862,20125,home_improvement,36 months,accepted,4.29,MORTGAGE,832.0,13.0,73952.0,0.0
54619,12000,debt_consolidation,36 months,accepted,12.06,RENT,717.0,11.0,14717.0,0.0
101798,2400,home_improvement,36 months,accepted,20.56,MORTGAGE,662.0,10.0,18749.0,5.0
98029,3200,home_improvement,36 months,accepted,8.36,MORTGAGE,672.0,7.0,6619.0,1.0
95579,12725,debt_consolidation,36 months,accepted,22.15,RENT,722.0,23.0,4079.0,0.0
4868,5500,credit_card,36 months,accepted,3.58,RENT,662.0,2.0,0.0,1.0
26822,15650,house,36 months,accepted,13.86,RENT,662.0,5.0,10605.0,1.0
98445,9000,credit_card,36 months,accepted,25.22,RENT,677.0,14.0,5852.0,1.0
14958,5000,major_purchase,36 months,accepted,4.0,RENT,717.0,3.0,1069.0,0.0
14754,3000,debt_consolidation,36 months,accepted,15.21,RENT,712.0,11.0,3098.0,0.0
34501,20000,debt_consolidation,60 months,accepted,9.47,MORTGAGE,672.0,5.0,11168.0,0.0
26888,5450,other,60 months,accepted,2.48,MORTGAGE,787.0,14.0,4326.0,0.0
81759,14000,debt_consolidation,36 months,accepted,11.38,MORTGAGE,707.0,22.0,18583.0,0.0
10825,8800,credit_card,60 months,accepted,21.59,RENT,752.0,11.0,18694.0,1.0
16667,3000,other,36 months,accepted,15.79,RENT,662.0,4.0,12578.0,0.0
92046,32000,debt_consolidation,60 months,accepted,15.61,RENT,702.0,15.0,32566.0,1.0
88279,22250,debt_consolidation,60 months,accepted,28.87,RENT,667.0,15.0,14107.0,0.0
17218,7325,debt_consolidation,60 months,accepted,20.37,OWNER,682.0,6.0,13583.0,0.0
82406,16450,debt_consolidation,36 months,accepted,7.57,RENT,727.0,5.0,2928.0,0.0
17143,2500,debt_consolidation,36 months,accepted,16.45,RENT,672.0,6.0,5019.0,1.0
27486,6000,other,36 months,accepted,7.5,MORTGAGE,717.0,4.0,5167.0,0.0
96613,27575,debt_consolidation,36 months,accepted,19.63,MORTGAGE,692.0,6.0,8720.0,0.0
6263,1000,educational,36 months,accepted,10.69,OWNER,757.0,22.0,17069.0,1.0
