longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,NEAR BAY
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,NEAR BAY
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,NEAR BAY
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,NEAR BAY
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,NEAR BAY
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,NEAR BAY
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,NEAR BAY
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,NEAR BAY
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,NEAR BAY
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,NEAR BAY
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,NEAR BAY
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,NEAR BAY
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,NEAR BAY
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,NEAR BAY
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,NEAR BAY
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,NEAR BAY
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,NEAR BAY
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,NEAR BAY
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,NEAR BAY
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,NEAR BAY
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,NEAR BAY
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,NEAR BAY
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,NEAR BAY
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,NEAR BAY
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,NEAR BAY
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,NEAR BAY
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,NEAR BAY
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,NEAR BAY
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,NEAR BAY
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,NEAR BAY
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,NEAR BAY
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,NEAR BAY
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,NEAR BAY
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,NEAR BAY
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,NEAR BAY
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,NEAR BAY
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,NEAR BAY
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,NEAR BAY
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,NEAR BAY
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,NEAR BAY
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,NEAR BAY
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,NEAR BAY
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,NEAR BAY
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,NEAR BAY
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,NEAR BAY
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,NEAR BAY
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,NEAR BAY
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,NEAR BAY
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,NEAR BAY
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,NEAR BAY
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,NEAR BAY
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,NEAR BAY
